time,country,case,cure,death,longitude,latitude
2020-01-25,Chad,0,0,0,18.64492513,15.33333758
2020-01-25,Chile,0,0,0,-71.38256213,-37.73070989
2020-01-25,China,688,11,15,103.8190735,36.56176546
2020-01-25,Colombia,0,0,0,-73.08114582,3.91383431
2020-01-25,Costa Rica,0,0,0,-84.19208768,9.97634464
2020-01-25,Croatia,0,0,0,16.40412899,45.08047631
2020-01-25,Cuba,0,0,0,-79.01605384,21.62289528
2020-01-25,Cyprus,0,0,0,33.0060022,34.91667211
2020-01-25,Denmark,0,0,0,10.02800992,55.98125296
2020-01-25,Djibouti,0,0,0,42.5606754,11.74871806
2020-01-25,Dominica,0,0,0,-61.357726,15.4394702
2020-01-25,Dominican Republic,0,0,0,-70.50568896,18.89433082
2020-01-25,Ecuador,0,0,0,-78.75201922,-1.42381612
2020-01-25,El Salvador,0,0,0,-88.87164469,13.73943744
2020-01-25,Equatorial Guinea,0,0,0,10.34137924,1.70555135
2020-01-25,Eritrea,0,0,0,38.84617011,15.36186618
2020-01-25,Estonia,0,0,0,25.54248537,58.67192972
2020-01-25,Ethiopia,0,0,0,39.60080098,8.62278679
2020-01-25,Falkland Islands,0,0,0,-59.35238956,-51.74483954
2020-01-25,Fiji,0,0,0,165.4519543,-17.42858032
2020-01-25,Finland,0,0,0,26.2746656,64.49884603
2020-01-25,France,1,0,0,-2.76172945,42.17344011
2020-01-25,French Polynesia,0,0,0,-144.9049439,-14.72227409
2020-01-25,Gabon,0,0,0,11.7886287,-0.58660025
2020-01-25,Georgia,0,0,0,43.50780252,42.16855755
2020-01-25,Germany,0,0,0,10.38578051,51.10698181
2020-01-25,Ghana,0,0,0,-1.21676566,7.95345644
2020-01-25,Greece,0,0,0,22.95555794,39.07469623
2020-01-25,Greenland,0,0,0,-41.34191127,74.71051289
2020-01-25,Grenada,0,0,0,-61.68220189,12.11725044
2020-01-25,Guatemala,0,0,0,-90.36482009,15.69403664
2020-01-25,Guinea-Bissau,0,0,0,-14.94972445,12.04744948
2020-01-25,Guinea,0,0,0,-10.94066612,10.43621593
2020-01-25,Guyana,0,0,0,-58.98202459,4.79378034
2020-01-25,Haiti,0,0,0,-72.68527509,18.93502563
2020-01-25,Honduras,0,0,0,-86.6151661,14.82688165
2020-01-25,Hungary,0,0,0,19.39559116,47.16277506
2020-01-25,Iceland,0,0,0,-18.57396167,64.99575386
2020-01-25,India,0,0,0,79.6119761,22.88578212
2020-01-25,Indonesia,0,0,0,117.2401137,-2.21505456
2020-01-25,Iraq,0,0,0,43.74353149,33.03970582
2020-01-25,Ireland,0,0,0,-8.13793569,53.1754487
2020-01-25,Isle of Man,0,0,0,-4.53873952,54.22418911
2020-01-25,Israel,0,0,0,35.00444693,31.46110101
2020-01-25,Italy,0,0,0,12.07001339,42.79662641
2020-01-25,Jamaica,0,0,0,-77.31482593,18.15694878
2020-01-25,Japan,0,0,0,138.0308956,37.59230135
2020-01-25,Jordan,0,0,0,36.77136104,31.24579091
2020-01-25,Kazakhstan,0,0,0,67.29149357,48.15688067
2020-01-25,Kenya,0,0,0,37.79593973,0.59988022
2020-01-25,Kuwait,0,0,0,47.58700459,29.33431262
2020-01-25,Latvia,0,0,0,24.91235983,56.85085163
2020-01-25,Lebanon,0,0,0,35.88016072,33.92306631
2020-01-25,Liberia,0,0,0,-9.32207573,6.45278492
2020-01-25,Libya,0,0,0,18.00866169,27.03094495
2020-01-25,Liechtenstein,0,0,0,9.53574312,47.13665835
2020-01-25,Lithuania,0,0,0,23.88719355,55.32610984
2020-01-25,Luxembourg,0,0,0,6.07182201,49.76725361
2020-01-25,Madagascar,0,0,0,46.70473674,-19.37189587
2020-01-25,Malawi,0,0,0,34.28935599,-13.21808088
2020-01-25,Malaysia,3,0,0,109.6976228,3.78986846
2020-01-25,Maldives,0,0,0,73.45713004,3.7287092
2020-01-25,Mali,0,0,0,-3.54269065,17.34581581
2020-01-25,Malta,0,0,0,14.40523316,35.92149632
2020-01-25,Mauritania,0,0,0,-10.34779815,20.25736706
2020-01-25,Mauritius,0,0,0,57.57120551,-20.27768704
2020-01-25,Mexico,0,0,0,-102.5234517,23.94753724
2020-01-25,Moldova,0,0,0,28.45673372,47.19498804
2020-01-25,Monaco,0,0,0,7.40627677,43.75274627
2020-01-25,Mongolia,0,0,0,103.0529977,46.82681544
2020-01-25,Montenegro,0,0,0,19.23883939,42.78890259
2020-01-25,Montserrat,0,0,0,-62.18518546,16.73941406
